;Adriano Jose Ferruzzi;Alessandra da Silva Carneiro;Alessandro Emilio Teruzzi;Alex Sandro Rodrigues Ancioto;Alexandre José Romagnoli;Alexandre Machado Rosa;Ana Carolina Vila Ramos dos Santos;Ana Claudia Folha da Cruz;Ana Márcia Lima Costa;Ana Paula Rodrigues Magalhães de Barros;André Luiz Favareto;Andréa Antonieta Cotrim Silva;Ariane Macedo Melo Ferraz;Beatriz Ferraz Diniz;Bruno Secco Faquin;Bruno Sérgio do Amaral;Bárbara Beatriz Freitag;Carolina Aparecida de Freitas Dias;Caroline Inês Lisevski;Claudia Almerinda de Souza Oliveira;Danilo Marcondes de Alcantara;Davi Munhoz Benati;Elisangela Lizardo de Oliveira;Emanoel Fabiano Menezes Pereira;Eudes Müller D'Oliveira Santos;Eufrida Pereira da Silva;Everaldo Paulo da Silva;Fabio Oliveira Teixeira;Felipe Alexandre Cardoso Pazinatto;Felipe Rodrigues Martinez Basile;Fernando Cesar Mendonca;Fernando Luis Rossi;Fernando da Silva Pardo;Filipe Mantovani Ferreira;Flávia Roberta Torezin;Hadassa Viviane Rodrigues;Idalise Bernardo Bagé;Igor Calebe Zadi;Igor Polezi Munhoz;Ingrid Anelise Lopes;Irando Alves Martins Neto;Jair Garcia dos Santos;Jairo Filho Sousa de Almeida Ferreira;Jeferson Antunes;José Geraldo Basante;José Roberto Campanele;Juliana de Souza Topan;Junot de Oliveira Maia;Júlio Samuel Sávio Bernardo;Kamili Oliveira Santana;Krícia Helena Barreto;Leandro Módolo Paschoalotte;Lincon Lopes;Lucas Rodrigues dos Santos;Luciana Cavalcanti Maia Santos;Luciano Henrique Trindade;Marcelo Cizaurre Guirau;Maria Cristina Stello Leite;Moacir Silva de Castro;Nelio Fernando dos Reis;Nilton Pereira dos Santos;Patricia Horta;Patricia de Aquino Prudente;Patrícia Cristiane Santana da Silva;Paulo Eduardo Pissardini;Pedro Ernesto Schiavinatti Tavares;Priscila Hanako Ishy de Magalhães;Regivaldo Sousa Ferreira;Reinaldo da Silva Caraça;Renato Cristiano Montanher;Renato Marcon Pugliese;Ricardo Normanha Ribeiro de Almeida;Rita Roberta Marioto;Roberta Caetano Fleira;Robson Barbosa;Rogério Aparecido Campanari Xavier;Rogério Aparecido Pereira;Rogério Deitali Bruno;Romario Araujo Pinheiro;Silene Jucelino de Lima;Tatiana Aparecida Picosque;Teresa Helena Buscato Martins;Thiago Pedro Donadon Homem;Thiago Silva Broze;Valdir Donizete dos Santos Junior;Vanessa Regina Ferreira da Silva;Whisner Fraga Mamede;Wilian Ramalho Feitosa;William Rosseti
Adriano Jose Ferruzzi;;;;análise;análise;;acesso, redes, sociais;análise;;system;ambientes, system;;;;;cell;análise;análise;;aplicação;;;análise;análise;;;;aplicação, clientes, redes, sociais;computação;aplicação;análise;;ambientes, sociais;;;meio;;aprendizado;análise, desempenho;desempenho;sociais;análise;;análise, aplicação, desempenho, meio;;;;meio, redes, sociais;análise;aplicação;;dado;;system;análise, comportamento;análise, dado, sociais;;palavras;;information, system;;;;system;comportamento, information, system;;;análise, aplicação, aprendizado, apresentação, ataques, cibersegurança, clientes, conteúdos, dado, ddos, detecção, feedback, meio, mineração, máquina, nuvem, palavras, web;;aprendizado;acesso;;;análise;sociais;;;;;;acesso;análise;aplicação;aplicação, dado;apresentação;;;acesso, análise, clientes, dado, meio, redes, sociais;análise
Alessandra da Silva Carneiro;;;;;;nova;mulher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;leitura;;;;;leitura;;;leitura;;;;;;;;nova;;;;;;;;nova;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alessandro Emilio Teruzzi;;;;ensino;ideias;;;;ensino, médio;ensino, matemática;;;;;;;;;;;;;;ensino, matemática, médio;;;cálculo, ensino, matemática;ensino;tecnologia;;;história;ensino;;ensino;;ensino, matemática;;;;ensino;ensino;;ensino, integral;;;;;;;;;;;ensino;;ensino, história;ensino;ensino;tecnologia;;;;;tecnologia;;;;;ensino;ensino, história, médio;ensino;;ensino, matemática;;;;;;;;ensino;;;história;;;história;história
Alex Sandro Rodrigues Ancioto;análise;;ensino;;análise;;;análise;ensino;ensino, teaching;management;;;;;evaluation, magnetic;análise;análise;simulador;;;evaluation;análise;análise, aspectos, ensino;;;ensino;ensino;management;virtual;análise;algorithm, evaluation, scheduling;ensino;;ensino;;ensino;;análise, management;;ensino;análise, ensino;;análise, ensino;;;;;análise;;;;;evaluation;análise, ensino, management;análise;ensino;ensino;ensino;management;;;;;management;;;análise, virtual;;ensino;ensino;ensino;;análise, ensino;;virtual;;;;;;análise, ensino;simulator;;;;;análise, evaluation, virtual;análise
Alexandre José Romagnoli;análise;;ideias;análise;;educação, papel;educação, política;análise;educação;produção;;;educacional;;;educação;análise, gestão;análise, brasil, educação;;;;;análise;análise;sistema;;;educacional;gestão, papel, sistema, social;brasil, social;análise, brasil, ferramenta, gestão, papel, produção, sistema;brasil, gestão;;;interesse;;educacional;;análise, educacional, gestão;;;agenda, análise, educação, produção;;análise, brasil, educacional, educação, gestão, nacional, política, social;;;;agenda, brasil;análise;produção;;financeira, gestão;produção, sistema;;análise, brasil, educacional, educação, sistema;análise, brasil, educação, ferramenta, gestão, indicadores;;;educação;brasil, educação, gestão, indicadores, social;brasil, política, rural;;social;;gestão, produção, sistema;;;análise, sistema;;;brasil, educação;brasil, nacional, produção;;análise, educação;brasil, educação, gestão;;;;;;educação;análise, produção;;ferramenta, gestão, papel, política;disputa;;;análise, brasil, educação, gestão, papel, sistema, social;análise, brasil, gestão
Alexandre Machado Rosa;;nova;;;educação, papel;;educação, raça;;educação;;;;;;;educação;;educação;;;;;;construção;;;;visão;papel;construção;papel;;construção;;;;;;;;construção;educação;;construção, educação;;;;;visão;;;nova;;;educação, visão;educação;construção;;educação, física;construção, educação, nova;;;;;construção;;;;;construção;educação, física;;;educação;educação;;;construção, física;;;educação;construção, visão;construção, visão;papel;nação;;;construção, educação, papel;
Ana Carolina Vila Ramos dos Santos;acesso, redes, sociais;mulher;;;educação, política;educação, raça;;gênero, periferia;educação, públicas;livro, âmbito;;feminino;;;;educação, ifsp;mulheres;educação, feminino, políticas;;feminino, ifsp;violência;;projeto;;;;;redes, sociais;projeto;cultura, feminino, mundo, projeto, relato;;cidade, políticas, projeto, públicas;música, pública, sociais;;;;políticas, públicas;;;;ifsp, livro, mundo, sociais;educação, projeto;;educação, grande, mulheres, política, políticas, pública, públicas, relato;;;;redes, sociais;cidade, ifsp, noroeste, tempo;cultura;;tempo;;;cidade, educação, ifsp, noroeste, tempo;cidade, cultura, educação, grande, sociais, ética;ifsp, mundo, relato, tempo;cidade, mulheres;básica, educação;cultura, educação, ifsp, ética;política;mulheres;century;ifsp;cidade;;;básica;;mundo, relato;acesso, básica, cidade, discussões, educação, noroeste, observatório, paulistano, permanência, políticas, públicas;gênero, políticas;relato;educação;cidade, educação, políticas, públicas, sociais;;;ifsp, âmbito;;básica;acesso, básica, discussões, educação, noroeste, observatório, paulistano, permanência, políticas, públicas;ifsp, relato;feminino, mundo, projeto, relato;grande, política, pública, âmbito;;;;acesso, cidade, cultura, educação, ifsp, políticas, projeto, redes, sociais;cidade, ifsp, projeto
Ana Claudia Folha da Cruz;análise;;;análise;análise;;gênero, periferia;;;possibilidades;;;;;;;análise, desafios;análise;;;;;análise, ciência;análise, possibilidades;;;;;desafios;estratégia;análise, estratégia;desafios, estratégia;desafios, pedagógicas;;;;;;análise;;;análise;;análise, ciência, desafios;;;;luta;análise;;;ciência;desafios, discussão;;análise;análise, desafios;;desafios;;desafios;discussão;;;;;;;análise;;estratégia;ciência;gênero, luta, possibilidades;;análise;desafios, estratégia;;;;;;;análise;estratégia;;;;;análise, estratégia;análise, estratégia
Ana Márcia Lima Costa;;;ensino, médio;ensino;educação;educação;educação, públicas;;;ensino, estudantes, pandemia, reflexões;;;;;;educação;impactos, pandemia;educação, estudantes;;;reflexões;;;ensino, médio;;;ensino;ensino, escolas, técnicas;;;;públicas;ensino, reflexões;;ensino;;ensino, públicas;;impactos;estudantes;ensino, escolarização;educação, ensino, estudantes;;educação, ensino, estudantes, públicas;;;;possíveis;;;;pandemia;;;educação, ensino, escolas, pandemia;cursos, educação, escolas, impactos, profissional;ensino, pandemia;ensino;educação, ensino;cursos, educação;;;;;;;;técnicas;;ensino;educação, ensino, médio, públicas, reflexões;ensino, impactos;possíveis;educação, ensino, reflexões;educação, impactos, públicas;;;;;;educação, públicas;ensino;;técnicas;;cursos, reflexões;;educação, impactos;
Ana Paula Rodrigues Magalhães de Barros;system;;ensino, matemática;ensino, teaching;produção;;livro, âmbito;possibilidades;ensino, estudantes, pandemia, reflexões;;learning, system;;;;;brazilian;pandemia, práticas;avaliação, docente, estudantes, learning, práticas;context, learning;;reflexões;;escola, olhar, partir, sob;ensino, formação, investigação, matemática, possibilidades, potencialidades, professores, provas;brazilian;;ensino, matemática;ambiente, brazilian, digital, ensino;campus, digital;digitais, digital, experiência, formativa, investigação, método, tecnologias;digital, produção;digital, high, perspective;cenário, digitais, ensino, escola, professor, práticas, reflexões;;ensino, formação, professores;;avaliação, contexto, digitais, docentes, ensino, experiência, formação, matemática, olhar, professores, programa, tecnologias;complex, digital, pedagógica;brazilian, digital, programa, tecnologias;deficiência, escola, estudantes;campus, culturais, didático, digitais, digital, ensino, formação, livro, professor, práticas;campus, didático, ensino, estudantes, produção, programa;context, método, understanding;contribution, ensino, estudantes, experiência, formação, método, professores, prática, práticas, realidade;;;;contexto, digitais, digital, escola, paradigma, partir;campus;partir, produção;cenário, contexto;digital, experiência, pandemia;experiência, produção, tecnologias;system;avaliação, brazilian, campus, ensino, pandemia;avaliação, formação;campus, ensino, experiência, formação, método, pandemia, professores;disciplina, docentes, ensino, partir, práticas;docente, ensino, formação;avaliação, brazilian, campus, estudante, high, perspective, pessoa, school, system;experiência;;perspective;avaliação, high, system;contribution, paradigma, partir, produção, system;;;;;complex, digital, ensino, experiência, pedagógica;docente, ensino, professor, realidade, reflexões;culturais, ensino, formação, partir, possibilidades, produção, sob;digitais, experiência, tecnologias;contexto, ensino, matemática, olhar, professor, professores, práticas, reflexões;cenário, digital, internet;;;campus, pibid, âmbito;;;;campus, ensino, experiência, produção;experiência, learning, método;sob, âmbito;experiência;docente, olhar, reflexões;;avaliação, campus, context, contexto, digital, perspective;digital, formação
